,precision,recall,f1-score,support
back,1.0,0.9728395061728395,0.9862327909887358,405.0
buffer_overflow,0.0,0.0,0.0,5.0
guess_passwd,0.0,0.0,0.0,9.0
imap,0.0,0.0,0.0,3.0
ipsweep,1.0,0.8244274809160306,0.9037656903765691,262.0
land,0.0,0.0,0.0,5.0
loadmodule,0.0,0.0,0.0,1.0
neptune,0.9991084416498522,1.0,0.9995540220172288,21292.0
nmap,1.0,0.34,0.5074626865671642,50.0
normal,0.9657817402998456,1.0,0.9825930524235438,19390.0
perl,0.0,0.0,0.0,1.0
pod,1.0,0.26229508196721313,0.41558441558441556,61.0
portsweep,1.0,0.6320754716981132,0.7745664739884393,212.0
rootkit,0.0,0.0,0.0,3.0
satan,0.9966329966329966,0.8554913294797688,0.9206842923794712,346.0
smurf,1.0,0.9995562812821696,0.9997780914085869,56342.0
teardrop,1.0,0.11467889908256881,0.205761316872428,218.0
warezclient,0.0,0.0,0.0,196.0
warezmaster,0.0,0.0,0.0,3.0
accuracy,0.9928444192542812,0.9928444192542812,0.9928444192542812,0.9928444192542812
macro avg,0.5242906936096156,0.3684928447683528,0.4050517280319254,98804.0
weighted avg,0.9907934891386753,0.9928444192542812,0.9906383977274309,98804.0
